Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;3724;Faculdade;SP
Faculdade de Pouso Alegre;3741;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS;3743;Faculdade;MG
FACULDADE VERDE NORTE;3754;Faculdade;MG
Centro Universitário de Bauru;3756;Centro Universitário;SP
FACULDADE DE ADMINISTRAÇÃO DE TERESINA;3757;Faculdade;PI
FACULDADE MOZARTEUM DE SÃO PAULO;3758;Faculdade;SP
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM;3768;Faculdade;MG
FACULDADE DIADEMA;3774;Faculdade;SP
FACULDADE BRASIL CENTRAL;3776;Faculdade;GO
FACULDADE DE TECNOLOGIA FTEC;3777;Faculdade;RS
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES;3778;Faculdade;GO
FACULDADE FOZ DO IGUAÇU;3779;Faculdade;PR
Faculdade de Ciências Jurídicas de Juiz de Fora;3783;Faculdade;MG
ABEU - CENTRO UNIVERSITÁRIO;3784;Centro Universitário;RJ
FACULDADE SETE DE SETEMBRO;3785;Faculdade;BA
FACULDADE SANTA TEREZINHA;3786;Faculdade;MA
FACULDADE DE DIREITO PADRE ARNALDO JANSSEN;3787;Faculdade;MG
FACULDADE BRASILEIRA DE TECNOLOGIA-;3788;Faculdade;BA
FACULDADE MACHADO DE ASSIS;3789;Faculdade;RJ
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA;3793;Faculdade;SP
FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG;3797;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;3803;Faculdade;PE
FACULDADE DE RONDÔNIA;3804;Faculdade;RO
FACULDADE DE TEODORO SAMPAIO;3805;Faculdade;SP
CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO;3817;Centro Universitário;MA
FACULDADES INTEGRADAS DE RONDONÓPOLIS;3823;Faculdade;MT
FACULDADE MADRE THAIS;3826;Faculdade;BA
FACULDADE DOCTUM DE MANHUAÇU - DOCTUM;3838;Faculdade;MG
FACULDADES DOCTUM DE CARATINGA;3853;Faculdade;MG
FACULDADE GUARAPUAVA;3854;Faculdade;PR
FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS;3862;Faculdade;MG
UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;3864;Universidade;SC
FACULDADE DE SANTO ANTONIO DA PLATINA;3867;Faculdade;PR
FACULDADE DE DRACENA;3869;Faculdade;SP
FACULDADE DE TECNOLOGIA CÉSAR LATTES;3875;Faculdade;SP
CENTRO UNIVERSITÁRIO DE LAVRAS;3877;Centro Universitário;MG
FACULDADE DO RIO DE JANEIRO;3879;Faculdade;RJ
FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS;3881;Faculdade;MG
FACULDADE UNINASSAU MOSSORÓ;3920;Faculdade;RN
FACULDADE CAMBURY;3921;Faculdade;GO
FACULDADE CNEC ILHA DO GOVERNADOR;3930;Faculdade;RJ
FACULDADE JK - GUARÁ;3936;Faculdade;DF
Faculdade Pitágoras de Altamira;3937;Faculdade;PA
Faculdade Unirb - Mossoró;3940;Faculdade;RN
Faculdade Marechal Rondon;3946;Faculdade;RO
FACULDADE SÃO LUÍS DE FRANÇA;3947;Faculdade;SE
CISNE - Faculdade Tecnológica de Quixadá;3948;Faculdade;CE
INSTITUTO CUIABÁ DE ENSINO E CULTURA;3954;Faculdade;MT
FACULDADE CURITIBANA;3955;Faculdade;PR
INSTITUTO DE ENSINO SUPERIOR FRANCISCANO;3966;Faculdade;MA
FACULDADE ANHANGUERA DO RIO GRANDE;3972;Faculdade;RS
FACULDADE SÃO FRANCISCO DA PARAÍBA;3977;Faculdade;PB
FACULDADE ESTÁCIO DE CASTANHAL;3980;Faculdade;PA
Faculdade Pitágoras de Santo Antônio de Jesus;3981;Faculdade;BA
FACULDADE DE EDUCAÇÃO SANTA TEREZINHA;3983;Faculdade;MA
FACULDADE DA AMAZÔNIA OCIDENTAL;3985;Faculdade;AC
Faculdade Presidente Antônio Carlos de Visconde do Rio Branco;3987;Faculdade;MG
FACULDADE SÃO GABRIEL DA PALHA;3992;Faculdade;ES
CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ;3996;Centro Universitário;RO
FACULDADE DE TECNOLOGIA DA PARAÍBA;3998;Faculdade;PB
INSTITUTO SUPERIOR DE EDUCAÇÃO IBITURUNA;4000;Faculdade;MG
FACULDADES COC DE SÃO PAULO;4005;Faculdade;SP
FACULDADE DE TECNOLOGIA OSWALDO CRUZ;4006;Faculdade;SP
FACULDADE DE SAÚDE IBITURUNA;4007;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL;4009;Faculdade;PE
FACULDADE CAPITAL FEDERAL DE ITAPECERICA DA SERRA;4010;Faculdade;SP
FACULDADE DE TECNOLOGIA E DESENVOLVIMENTO DE COMPETÊNCIAS;4013;Faculdade;PA
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO;4017;Faculdade;MT
Faculdade de Ciências Jurídicas de Itabira;4029;Faculdade;MG
Faculdade Autônoma do Brasil - Maceió;4030;Faculdade;AL
Faculdade Boa Viagem;4036;Faculdade;PB
FACULDADE SANTOS DUMONT;4037;Faculdade;MG
Faculdade Pitágoras do Ceará;4043;Faculdade;CE
Faculdades de Ciências e Tecnologia do Nordeste LTDA;4045;Faculdade;CE
FACULDADE PITÁGORAS DE TECNOLOGIA DE CONTAGEM;4068;Faculdade;MG
FACULDADE SANTO ANTONIO DE QUEIMADAS;4090;Faculdade;BA
INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO;4093;Faculdade;MA
FACULDADE IRECÊ;4094;Faculdade;BA
FACULDADE DE CIÊNCIAS GERENCIAIS DE MANHUAÇU;4096;Faculdade;MG
Centro Universitário SOCIESC de Curitiba;4097;Centro Universitário;PR
FACULDADE DE TECNOLOGIA ALTO MÉDIO SÃO FRANCISCO;4100;Faculdade;MG
FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;4101;Faculdade;RO
FACULDADE JK DE TECNOLOGIA;4113;Faculdade;DF
Faculdade de Tecnologia e Administração Edufor;4118;Faculdade;MA
FACULDADE DE CAMPINA GRANDE;4121;Faculdade;PB
Faculdade Unirb -  Ceará;4135;Faculdade;CE
CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE;4138;Faculdade;SP
FACULDADE DE AVARÉ;4141;Faculdade;SP
FACULDADE DE RIBEIRÃO PIRES;4150;Faculdade;SP
FACULDADE METODISTA GRANBERY;4153;Faculdade;MG
FACULDADE DE VINHEDO;4157;Faculdade;SP
FACULDADE DE RIO CLARO;4162;Faculdade;SP
Faculdade de São Caetano do Sul;4163;Faculdade;SP
FACULDADE REDENTOR METROPOLITANA;4166;Faculdade;RJ
CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;4169;Centro Universitário;CE
FACULDADE MOGIANA DO ESTADO DE SÃO PAULO;4173;Faculdade;SP
Centro Universitário Saúde ABC;4185;Centro Universitário;SP
FACULDADE UNINASSAU SOBRAL;4197;Faculdade;CE
FACULDADE DE TECNOLOGIA SENAC PELOTAS;4209;Faculdade;RS
Faculdade AGES de Senhor do Bonfim;4251;Faculdade;BA
FACULDADE  PITÁGORAS;4255;Faculdade;MG
FACULDADE DE CIÊNCIAS EXATAS DE GARANHUNS;4256;Faculdade;PE
CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE;4259;Centro Universitário;SP
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;4277;Faculdade;SP
FACULDADE DE PALMAS;4289;Faculdade;TO
FACULDADE DE TECNOLOGIA DO AMAPÁ;4294;Faculdade;AP
INSTITUTO DE ENSINO SUPERIOR DE OLINDA;4357;Faculdade;PE
FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO;4362;Faculdade;BA
INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS;4367;Faculdade;PB
ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA;4399;Faculdade;SP
FACULDADE VÉRTICE;4411;Faculdade;MG
ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING;4416;Faculdade;PR
Faculdade SENAC Goiás;4420;Faculdade;GO
FACULDADE DE VARGEM GRANDE PAULISTA;4429;Faculdade;SP
FACULDADE IDEAL DE BRASÍLIA;4435;Faculdade;DF
FACULDADE DE EDUCAÇÃO DE PORTO VELHO;4442;Faculdade;RO
FACULDADE MATO GROSSO DO SUL;4450;Faculdade;MS
Faculdade Internacional de São Luís;4460;Faculdade;MA
FACULDADE DE TECNOLOGIA IBTA - SÃO JOSÉ DOS CAMPOS;4495;Faculdade;SP
ESCOLA SUPERIOR DE EDUCAÇÃO CORPORATIVA;4502;Faculdade;SC
FACULDADE DE TECNOLOGIA FAESA;4522;Faculdade;ES
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS;4530;Centro Universitário;SP
FACULDADE ESTÁCIO DE SÃO LUÍS;4531;Faculdade;MA
FACULDADE DE ITAITUBA;4532;Faculdade;PA
FACULDADE METROPOLITANA DE GUARAMIRIM;4533;Faculdade;SC
CENTRO UNIVERSITÁRIO OPET;4534;Centro Universitário;PR
FACULDADE DE JACAREÍ;4566;Faculdade;SP
FACULDADE DE PORTO FELIZ;4567;Faculdade;SP
Faculdade EduCareMT;4586;Faculdade;MT
Faculdade do Vale do São Francisco;4588;Faculdade;PE
FACULDADES PITÁGORAS UNIDADE GUARAPARI;4598;Faculdade;ES
FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA;4605;Faculdade;SP
INSTITUTO SUPERIOR DE EDUCAÇÃO DE OLIVEIRA;4610;Faculdade;MG
FACULDADE SENAC FLORIANÓPOLIS;4613;Faculdade;SC
FACULDADES INTEGRADAS DE ARARAQUARA;4616;Faculdade;SP
"Faculdade Brasileira de Ensino; Pesquisa e Extensão";4630;Faculdade;PB
FACULDADES INTEGRADAS RIO BRANCO GRANJA VIANNA;4632;Faculdade;SP
FACULDADE CATÓLICA DOM ORIONE;4633;Faculdade;TO
FACULDADE ÚNICA DE TIMÓTEO;4652;Faculdade;MG
FACULDADE DE JUAZEIRO DO NORTE;4655;Faculdade;CE
FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA;4656;Faculdade;PA
FACULDADE FASIPE;4661;Faculdade;MT
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ;4669;Faculdade;BA
FACULDADE CATÓLICA SANTA TERESINHA;4681;Faculdade;RN
FACULDADE DE FRUTAL;4699;Faculdade;MG
FACULDADE DA ACADEMIA BRASILEIRA DE EDUCAÇÃO E CULTURA;4700;Faculdade;RJ
FACULDADE ITOP;4702;Faculdade;TO
FACULDADE DE ENSINO SUPERIOR DE CATALÃO;4722;Faculdade;GO
FACULDADE MAURÍCIO DE NASSAU DE SÃO JOSÉ DOS CAMPOS;4724;Faculdade;SP
FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU;4729;Faculdade;PR
Faculdade Estácio de Curitiba;4732;Faculdade;PR
FACULDADE NOVO TEMPO DA SERRA GRANDE;4742;Faculdade;CE
Faculdade Uninassau Ananindeua;4747;Faculdade;PA
FACULDADE CENECISTA DE RIO BONITO;4748;Faculdade;RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO ORÍGENES LESSA;4751;Faculdade;SP
Faculdade Estácio de Ibiúna;4766;Faculdade;SP
FACULDADE CNEC NOVA PETRÓPOLIS;4777;Faculdade;RS
FACULDADE ISEIB DE BELO HORIZONTE;4780;Faculdade;MG
FACULDADE DE BALSAS;4784;Faculdade;MA
FACULDADE BRASIL NORTE;4810;Faculdade;AP
FACULDADE DE PIMENTA BUENO;4821;Faculdade;RO
FACULDADE REDENTOR DE PARAÍBA DO SUL;4826;Faculdade;RJ
FACULDADE INTEGRADA CARAJÁS;4829;Faculdade;PA
FACULDADE DE ENGENHARIA E INOVAÇÃO TÉCNICO PROFISSI;4846;Faculdade;PR
FACULDADE DE EDUCAÇÃO E CULTURA DE PORTO VELHO;4847;Faculdade;RO
FACULDADE CALAFIORI;4849;Faculdade;MG
FACULDADE REGIONAL JAGUARIBANA;4858;Faculdade;CE
FACULDADE KENNEDY DE BELO HORIZONTE;4863;Faculdade;MG
FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS;4865;Faculdade;SP
FACULDADE CRISTO REI;4867;Faculdade;PR
FACULDADE SANTA CECÍLIA;4873;Faculdade;SP
"FACULDADE DE CIÊNCIAS ECONÔMICAS; ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO";4878;Faculdade;RJ
FACULDADE ESTÁCIO DE SANTO ANDRÉ;4901;Faculdade;SP
FACULDADE CENECISTA DE BENTO GONÇALVES;4910;Faculdade;RS
FACULDADE SENAC SÃO MIGUEL DO OESTE;4915;Faculdade;SC
FACULDADE SENAC CONCÓRDIA;4922;Faculdade;SC
Faculdade FIPECAFI;4938;Faculdade;SP
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO;4943;Faculdade;SP
Faculdade Superior de Ensino Programus;4950;Faculdade;PI
Faculdade SOCIESC de Blumenau;4959;Faculdade;SC
FACULDADE CNEC GRAVATAÍ;4964;Faculdade;RS
Faculdade de Ciências Jurídicas de Jequié;4969;Faculdade;BA
"FACULDADE DE CIÊNCIAS JURÍDICAS; GERENCIAIS E EDUCAÇÃO DE SINOP";4983;Faculdade;MT
Faculdade Pitágoras de Ribeirão das Neves;4995;Faculdade;MG
FACULDADE IBMEC DISTRITO FEDERAL;5054;Faculdade;DF
FACULDADE ESCOLA PAULISTA DE DIREITO;5066;Faculdade;SP
FACULDADE TRÊS MARIAS;5105;Faculdade;PB
Faculdade ICG;5124;Faculdade;GO
FACULDADE DE SANTA RITA DO PASSA QUATRO;5131;Faculdade;SP
FACULDADE DAMA;5133;Faculdade;SC
Faculdade  SENAC Criciúma;5186;Faculdade;SC
Faculdade Presidente Antônio Carlos de Teófilo Otoni;5216;Faculdade;MG
FACULDADE DO NORDESTE DA BAHIA;5217;Faculdade;BA
FACULDADE DE JAÚ;5228;Faculdade;SP
FACULDADE CENTRO PAULISTANO;5276;Faculdade;SP
FACULDADE DE IBIPORÃ;5285;Faculdade;PR
CENTRO UNIVERSITÁRIO DE FORMIGA;5288;Centro Universitário;MG
FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ;5290;Faculdade;PR
FACULDADE DE ENSINO E CULTURA DO CEARÁ;5303;Faculdade;CE
FACULDADE DE GUARARAPES;5312;Faculdade;SP
FACULDADE DE IBAITI;5313;Faculdade;PR
Faculdade Univeritas Universus Veritas de Joinville;5314;Faculdade;SC
FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE;5315;Faculdade;CE
FACULDADE DE ENSINO SUPERIOR DA PARAÍBA;5316;Faculdade;PB
FACULDADE CONHECIMENTO & CIÊNCIA;5362;Faculdade;PA
FACULDADE DO SERTÃO DO PAJEÚ;5369;Faculdade;PE
FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES;5370;Faculdade;SP
Faculdade Pitágoras Bacabal Mearim;5387;Faculdade;MA
Faculdade Fasipe Cuiabá;5388;Faculdade;MT
Escola de Ensino Superior do Agreste Paraibano;5403;Faculdade;PB
FACULDADE DE TECNOLOGIA DE PIRACICABA;5439;Faculdade;SP
UNIÃO LATINO-AMERICANA DE TECNOLOGIA;5451;Faculdade;PR
Faculdade Doctum de Ipatinga;5473;Faculdade;MG
Faculdade Estácio de Goiânia;5511;Faculdade;GO
CENTRO DE ENSINO SUPERIOR DO AMAPÁ;5518;Faculdade;AP
FACULDADE SÃO JUDAS TADEU;5520;Faculdade;RJ
CISNE - FACULDADE DE QUIXADÁ;5544;Faculdade;CE
FACULDADE UNINABUCO MACEIÓ;5550;Faculdade;AL
FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA;5555;Faculdade;BA
FACULDADE INTEGRADA DA AMAZÔNIA;5592;Faculdade;PA
FACULDADE TECNOLÓGICA DENTAL CEEO;5599;Faculdade;RS
Faculdade Alencarina de Sobral;5600;Faculdade;CE
FACULDADE DE ADMINISTRAÇÃO DE SANTA CRUZ DO RIO PARDO;5663;Faculdade;SP
Faculdade Anhanguera de Itapeva;5668;Faculdade;SP
FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ;5669;Faculdade;MG
FACULDADE CLARETIANA DE TEOLOGIA;5670;Faculdade;PR
FACULDADE ALFREDO NASSER DE REMANSO;5671;Faculdade;BA
Centro Universitário UNIFAFIBE;10058;Centro Universitário;SP
FACULDADE DE TECNOLOGIA DE VALENÇA;10418;Faculdade;BA
Escola Superior de Engenharia de Porto Velho;10588;Faculdade;RO
FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE;10836;Faculdade;MT
FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO;11308;Faculdade;PR
CENTRO DE ENSINO SUPERIOR DE BACABEIRA;11428;Faculdade;MA
FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA;11429;Faculdade;PE
Faculdade da Polícia Militar;11544;Faculdade;GO
FACULDADE DE INOVAÇÃO TECNOLÓGICA DE LONDRINA;11563;Faculdade;PR
CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO;11584;Faculdade;PE
FACULDADE SÃO FRANCISCO DE BARREIRAS - FASB;11586;Faculdade;BA
FACULDADE PROMOVE DE MINAS GERAIS;11645;Faculdade;MG
FACULDADE DE OLÍMPIA;11750;Faculdade;SP
ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG DA BAIXADA SANTISTA;11818;Faculdade;SP
INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA;11841;Faculdade;RJ
CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO;11860;Centro Universitário;PR
Faculdade de Colinas do Tocantins;11862;Faculdade;TO
Faculdade de Tecnologia e Ciências - FTC Petrolina;11902;Faculdade;PE
FACULDADE DA SEUNE;11951;Faculdade;AL
FACULDADE CNEC FARROUPILHA;12229;Faculdade;RS
FACULDADE POUSO ALEGRE;12247;Faculdade;MG
FACULDADES INTEGRADAS CAMPO-GRANDENSES;12346;Faculdade;RJ
Faculdade de Ciências Humanas e Sociais III;12415;Faculdade;BA
FIP - FACULDADE DE IPORÃ PARANÁ;12416;Faculdade;PR
FACULDADE DE ROLIM DE MOURA;12421;Faculdade;RO
FACULDADE CENTRAL DE CRISTALINA;12430;Faculdade;GO
FACULDADE DOM PEDRO II;12522;Centro Universitário;BA
Faculdade da Região Sisaleira;12523;Faculdade;BA
CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;12547;Centro Universitário;SP
FACULDADE DE INOVAÇÃO TECNOLÓGICA DE PONTA GROSSA;12620;Faculdade;PR
FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA;12625;Faculdade;SP
FACULDADE SENAC JARAGUÁ DO SUL;12723;Faculdade;SC
LIBERTAS - FACULDADES INTEGRADAS;12749;Faculdade;MG
FACULDADE LOGOS;12758;Faculdade;GO
FACULDADE EDUCACIONAL DE MEDIANEIRA;12766;Faculdade;PR
FACULDADE IMESP MONITOR;12772;Faculdade;SP
FACULDADE RAÍZES;12784;Faculdade;GO
INSTITUTO MARANHENSE DE ENSINO E CULTURA;12791;Faculdade;MA
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE;12803;Faculdade;MT
Faculdade Anhanguera de Assis;12817;Faculdade;SP
FACULDADE ANHANGUERA DE RIO CLARO;12847;Faculdade;SP
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA;12848;Faculdade;PI
Faculdade Novo Tempo de Itapipoca;12869;Faculdade;CE
FACULDADE VALE DO GORUTUBA;12922;Faculdade;MG
FACULDADE DO VALE DO ITAJAÍ MIRIM;12923;Faculdade;SC
FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;12946;Faculdade;SP
FACULDADE DE INOVAÇÃO TECNOLÓGICA DE CURITIBA;13034;Faculdade;PR
FACULDADE DA ALTA PAULISTA;13106;Faculdade;SP
FACULDADE DE BRUSQUE;13133;Faculdade;SC
FACULDADE DINÂMICA DO VALE DO PIRANGA;13359;Faculdade;MG
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU;13417;Faculdade;PE
FACULDADE DE JOSÉ BONIFÁCIO;13481;Faculdade;SP
FACULDADE UNINASSAU MARACANAÚ;13488;Faculdade;CE
Faculdade Dom Pedro II - Luis Eduardo Magalhães;13620;Faculdade;BA
FACULDADE NOROESTE;13625;Faculdade;GO
Faculdade Sulamérica Brasília;13631;Faculdade;DF
FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;13648;Faculdade;MG
Faculdade São Judas de Terra Boa;13657;Faculdade;PR
FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ;13663;Faculdade;PA
FACULDADE PITÁGORAS DE GOIÂNIA;13684;Faculdade;GO
FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM;13717;Faculdade;ES
"FACULDADE DE COMUNICAÇÃO E DESIGN ""OSWALDO CRUZ""";13728;Faculdade;SP
FACULDADE DIVINÓPOLIS;13743;Faculdade;MG
FACULDADE GUAIANÁS;13749;Faculdade;SP
FACULDADE DE NOVA ESPERANÇA;13782;Faculdade;PR
FACULDADE AUM;13783;Faculdade;MT
FACULDADE DE TELÊMACO BORBA;13796;Faculdade;PR
Faculdade Presidente Antônio Carlos de Governador Valadares;13809;Faculdade;MG
FACULDADE CUIABÁ;13811;Faculdade;MT
FACULDADE SENAC MINAS;13828;Faculdade;MG
FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE;13856;Faculdade;MG
Faculdade Cesmac do Sertão;13873;Faculdade;AL
FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;13897;Faculdade;RS
Faculdade Una de Divinópolis;13938;Faculdade;MG
Faculdade Projeção de Taguatinga Norte;13944;Faculdade;DF
FACULDADE DE JUNDIAÍ;13982;Faculdade;SP
FACULDADES INTEGRADAS DE PONTA PORÃ;14002;Faculdade;MS
FACULDADE DOIS DE JULHO;14028;Faculdade;BA
FACULDADE UNIVERITAS UNIVERSUS VERITAS DE CONTAGEM;14029;Faculdade;MG
FACULDADE MAURÍCIO DE NASSAU DE IMPETRATRIZ;14069;Faculdade;MA
FACULDADE UNIVERITAS UNIVERSUS VERITAS ANÁPOLIS;14090;Faculdade;GO
FACULDADE DO NOROESTE DE MINAS;14101;Faculdade;MG
FACULDADE CENECISTA DE SENHOR DO BONFIM;14115;Faculdade;BA
Faculdade Gran Tietê;14132;Faculdade;SP
FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA;14133;Faculdade;AP
FACULDADES LONDRINA;14148;Faculdade;PR
FACULDADE DO VALE DO RIO ARINOS;14149;Faculdade;MT
FACULDADE EVOLUÇÃO ALTO OESTE POTIGUAR;14151;Faculdade;RN
